game_id,date,game_time,away_team,home_team,market_spread_home,baseline_margin,pred_margin_mu,actual_home,actual_away,actual_margin,actual_home_covers,pred_home_covers,ats_correct,actual_home_wins,pred_home_wins,ml_correct,abs_error
2024-11-02-BOS-CHA,2024-11-02,,BOS,CHA,10.0,-10.0,-9.195187032222748,103,113,-10,0,1,0,0,0,1,0.8048129677772522
2024-11-02-MEM-PHI,2024-11-02,,MEM,PHI,1.0,-1.0,-0.8506628572940826,107,124,-17,0,1,0,0,0,1,16.149337142705917
2024-11-02-SAC-TOR,2024-11-02,,SAC,TOR,9.5,-9.5,-9.816668778657911,131,128,3,1,0,0,1,0,0,12.816668778657911
2024-11-02-GSW-HOU,2024-11-02,,GSW,HOU,-5.0,5.0,4.717858284711838,121,127,-6,0,0,1,0,1,0,10.717858284711838
2024-11-02-CLE-MIL,2024-11-02,,CLE,MIL,-2.0,2.0,1.7408820390701294,113,114,-1,0,0,1,0,1,0,2.7408820390701294
2024-11-02-MIN-SAS,2024-11-02,,MIN,SAS,3.5,-3.5,-3.18098708987236,113,103,10,1,1,1,1,0,0,13.18098708987236
2024-11-02-UTA-DEN,2024-11-02,,UTA,DEN,-11.0,11.0,12.758609056472778,129,103,26,1,1,1,1,1,1,13.241390943527222
2024-11-02-POR-PHX,2024-11-02,,POR,PHX,-13.0,13.0,13.001974543556573,103,97,6,0,1,0,1,1,1,7.001974543556573
2024-11-02-OKC-LAC,2024-11-02,,OKC,LAC,5.5,-5.5,-5.308944433927536,92,105,-13,0,1,0,0,0,1,7.691055566072464
2024-11-03-DET-BKN,2024-11-03,,DET,BKN,-3.0,3.0,3.536708116531372,92,106,-14,0,1,0,0,1,0,17.536708116531372
2024-11-03-ATL-NOP,2024-11-03,,ATL,NOP,1.5,-1.5,-1.4432558491826055,111,126,-15,0,1,0,0,0,1,13.556744150817394
2024-11-03-ORL-DAL,2024-11-03,,ORL,DAL,-7.0,7.0,6.75789812207222,108,85,23,1,0,0,1,1,1,16.24210187792778
2024-11-04-MIL-CLE,2024-11-04,,MIL,CLE,-8.0,8.0,7.769367799162865,116,114,2,0,0,1,1,1,1,5.769367799162865
