total_fga,rim_attempt_rate,corner_3_rate,non_corner_3_rate,pullup_3_rate,catch_shoot_3_rate,short_mid_rate,long_mid_rate,mid_range_rate,ftr,shooting_fouls_per_100,and1_rate,assisted_2pt_rate,assisted_3pt_rate,assists_per_100,turnovers_per_100,ast_to_ratio,steals_per_100,blocks_per_100,def_reb_share,total_fouls_per_100,total_possessions,games_played,season,max_date,player_name
206,0.5145631067961165,0.06796116504854369,0.2087378640776699,0.05825242718446602,0.21844660194174756,0.19902912621359223,0.009708737864077669,0.2087378640776699,0.3640776699029126,3.1269942565411615,0.0,0.5595238095238095,1.0,10.274409700063817,3.446075303126994,2.9814814814814814,1.6592214422463305,0.574345883854499,0.05401234567901234,5.615826419910657,1567,60,2023-2024,2024-04-13,Blake Wesley
909,0.26732673267326734,0.07150715071507151,0.20242024202420242,0.0187018701870187,0.2552255225522552,0.38283828382838286,0.07590759075907591,0.45874587458745875,0.1342134213421342,2.467811158798283,0.0,0.5487465181058496,0.9702970297029703,2.7628755364806867,2.3605150214592276,1.1704545454545454,1.7703862660944207,0.8583690987124464,0.1579861111111111,5.123390557939914,3728,81,2023-2024,2024-04-13,Bobby Portis
1085,0.17511520737327188,0.07004608294930875,0.5271889400921659,0.17972350230414746,0.41751152073732717,0.19447004608294932,0.03317972350230415,0.22764976958525346,0.14838709677419354,2.0786767992847563,0.0,0.5475113122171946,0.860655737704918,5.498435404559678,2.5033527045149757,2.1964285714285716,2.1010281627179257,0.581135449262405,0.0622478386167147,3.9785426911041575,4474,78,2023-2024,2024-04-13,Bogdan Bogdanovic
672,0.18601190476190477,0.08779761904761904,0.40327380952380953,0.15476190476190477,0.33630952380952384,0.26785714285714285,0.05505952380952381,0.3229166666666667,0.21875,1.932367149758454,0.0,0.6457142857142857,0.8692307692307693,3.5674470457079153,3.753251579338536,0.9504950495049505,1.1148272017837235,0.18580453363062058,0.062196307094266275,3.6417688591601634,2691,56,2023-2024,2024-04-13,Bojan Bogdanovic
148,0.23648648648648649,0.13513513513513514,0.22297297297297297,0.0472972972972973,0.3108108108108108,0.3716216216216216,0.033783783783783786,0.40540540540540543,0.12837837837837837,3.135135135135135,0.0,0.7794117647058824,1.0,1.8378378378378377,1.8378378378378377,1.0,1.0810810810810811,2.7027027027027026,0.15226939970717424,4.648648648648648,925,41,2023-2024,2024-04-13,Bol Bol
251,0.2151394422310757,0.043824701195219126,0.4940239043824701,0.2948207171314741,0.24302788844621515,0.21115537848605578,0.035856573705179286,0.24701195219123506,0.09163346613545817,1.4213197969543148,0.0,0.3018867924528302,0.5,9.441624365482234,4.467005076142132,2.1136363636363638,2.6395939086294415,0.40609137055837563,0.06369426751592357,5.380710659898477,985,37,2023-2024,2024-04-13,Bones Hyland
714,0.29831932773109243,0.05322128851540616,0.2703081232492997,0.09523809523809523,0.22829131652661064,0.2703081232492997,0.10784313725490197,0.37815126050420167,0.18487394957983194,2.045656685443226,0.0,0.45149253731343286,0.8736842105263158,7.708271568336793,3.8541357841683963,2.0,1.4823599169878445,0.7708271568336793,0.07154538021259199,3.765194189149126,3373,52,2023-2024,2024-04-13,Bradley Beal
590,0.27627118644067794,0.05254237288135593,0.3423728813559322,0.13220338983050847,0.2627118644067797,0.3050847457627119,0.023728813559322035,0.3288135593220339,0.13389830508474576,1.5682174594877154,0.1694915254237288,0.5561797752808989,0.7555555555555555,7.083115525352849,2.300052273915316,3.0795454545454546,1.5420805018295871,0.36591740721380034,0.10714285714285714,3.2409827496079457,3826,73,2023-2024,2024-04-13,Brandin Podziemski
145,0.25517241379310346,0.027586206896551724,0.296551724137931,0.15862068965517243,0.16551724137931034,0.36551724137931035,0.05517241379310345,0.4206896551724138,0.2,4.270462633451958,0.0,0.6041666666666666,0.75,1.7793594306049825,3.202846975088968,0.5555555555555556,1.2455516014234875,1.4234875444839856,0.06502242152466367,6.761565836298933,562,31,2023-2024,2024-04-13,Brandon Boston Jr.
1008,0.18551587301587302,0.016865079365079364,0.22420634920634921,0.09126984126984126,0.1498015873015873,0.42956349206349204,0.14384920634920634,0.5734126984126984,0.30456349206349204,1.824087956021989,0.0992063492063492,0.4166666666666667,0.7674418604651163,9.070464767616192,4.022988505747127,2.2546583850931676,1.249375312343828,0.9995002498750625,0.09212283044058744,3.6231884057971016,4002,63,2023-2024,2024-04-13,Brandon Ingram
