player_name,cluster,cluster_name,games_played
Skylar Mays,0,Primary Mid-Range Playmaker (Facilitator),37
Spencer Dinwiddie,8,Primary Shot-Creating Guard (Facilitator),75
Stephen Curry,8,Primary Shot-Creating Guard (Facilitator),74
Svi Mykhailiuk,3,Low-Usage Corner Specialist (Off-Ball),40
T.J. McConnell,0,Primary Mid-Range Playmaker (Facilitator),71
Talen Horton-Tucker,19,High-Usage Versatile Role Player (Facilitator),51
Taurean Prince,3,Low-Usage Corner Specialist (Off-Ball),78
Taylor Hendricks,18,Corner Specialist (Off-Ball),39
Terance Mann,18,Corner Specialist (Off-Ball),74
Terry Rozier,8,Primary Shot-Creating Guard (Facilitator),61
Terry Taylor,1,Scoring Big,31
Thaddeus Young,16,Scoring Big (Defensive),32
Thanasis Antetokounmpo,6,Low-Usage Rim-Running Center (Defensive),33
Thomas Bryant,17,Low-Usage Defensive Anchor (Defensive),37
Tim Hardaway Jr.,2,Pull-Up Shooter,78
Tobias Harris,22,Role Player,69
Torrey Craig,18,Corner Specialist (Off-Ball),52
Toumani Camara,1,Scoring Big,70
Trae Young,5,High-Usage Elite Perimeter Creator (Facilitator),53
Trayce Jackson-Davis,24,Post-Up Center (Aggressive),66
Tre Jones,0,Primary Mid-Range Playmaker (Facilitator),76
Tre Mann,19,High-Usage Versatile Role Player (Facilitator),40
Trendon Watford,12,High-Usage Slashing Wing,62
Trent Forrest,0,Primary Mid-Range Playmaker (Facilitator),37
Trey Lyles,18,Corner Specialist (Off-Ball),57
Trey Murphy III,3,Low-Usage Corner Specialist (Off-Ball),56
Tristan Thompson,24,Post-Up Center (Aggressive),48
Troy Brown Jr.,2,Pull-Up Shooter,58
Tyler Herro,23,Primary Scoring Guard (Facilitator),41
Tyrese Haliburton,5,High-Usage Elite Perimeter Creator (Facilitator),69
Tyrese Maxey,8,Primary Shot-Creating Guard (Facilitator),69
Tyus Jones,-1,Other / Unique Stars,66
Vasilije Micic,8,Primary Shot-Creating Guard (Facilitator),59
Victor Wembanyama,-1,Other / Unique Stars,71
Vince Williams Jr.,1,Scoring Big,52
Walker Kessler,17,Low-Usage Defensive Anchor (Defensive),64
Wendell Carter Jr.,15,Low-Usage 3&D Wing (Defensive),54
Wesley Matthews,13,Pull-Up Shooter (Defensive),36
Xavier Tillman,16,Scoring Big (Defensive),53
Yuta Watanabe,18,Corner Specialist (Off-Ball),34
Zach Collins,12,High-Usage Slashing Wing,68
Zach LaVine,11,High-Usage Scoring Guard (Self-Creator),25
Zeke Nnaji,17,Low-Usage Defensive Anchor (Defensive),57
Ziaire Williams,22,Role Player,51
Zion Williamson,12,High-Usage Slashing Wing,69
